SampleID,1-Butanol,"3,7-Dimethyluric acid",3-Hydroxyphenylacetate,4-Hydroxyphenylacetate,Acetate,Acetone,Alanine,Benzoate,Betaine,Butyrate,Ethanol,Formate,Fructose,Glucose,Glycolate,Isobutyrate,Isocaproate,Isopropanol,Isovalerate,Lactate,Methanol,O-Acetylcholine,Phenol,Phenylacetate,Phenylalanine,Propionate,Propyl alcohol,Propylene glycol,Pyruvate,Trimethylamine,Valerate,Valproate,p-Cresol,DSS-d6
nmr_CT_sf_1,1.571609789637652,2.058097827710665,1.4032783287110833,1.0579981051237168,8.26285864207787,2.7233712391182467,0.32041835733294816,0.32041835733294816,0.32041835733294816,7.008810206395743,2.2119876044566897,1.2331304106777063,0.32041835733294816,0.32041835733294816,0.9956143354092756,4.234440074262355,0.32041835733294816,1.5978080983419418,2.625255756538028,0.32041835733294816,3.6897510808898613,0.32041835733294816,2.055505762212602,2.2919813781075127,0.32041835733294816,3.853900274009932,1.9716781786909783,0.32041835733294816,0.9369089604905689,0.9956143354092756,5.834009517990948,3.4862297979810566,1.9459577005274913,5.471029044767619
nmr_CT_sf_2,1.5119038681942958,2.4752599419363404,1.3461753061829653,1.2409391577645492,8.780568100404077,2.1574969347052,1.1952744414069256,1.4629004651321593,0.3438622782610953,7.724286571511721,2.3905488828138513,1.3155697493296106,0.3438622782610953,1.4754581648920424,0.3438622782610953,5.327060936762808,0.3438622782610953,1.657514019785298,2.9258009302643186,0.3438622782610953,3.985480976170799,0.3438622782610953,2.39528265534029,2.4551893834720206,0.3438622782610953,4.233391330434282,2.2916507951567655,0.3438622782610953,0.9635156280163559,1.1857118362171923,7.388728117482861,3.601564629275476,1.7147142800840753,5.844865399529719
nmr_CT_sf_3,1.5987034381904528,1.591752465885867,1.4462030922262732,1.0686781892089594,8.09951609244916,1.083947083392746,1.1804789081199982,1.2851613744470634,0.8603293702277534,7.506890780237453,4.891846676186543,1.0200332588730827,0.3757834655349241,0.3757834655349241,0.8357349457148118,4.704397403322155,1.8379468764116556,1.577665422093727,2.575666470614766,0.3757834655349241,3.6348558602022183,0.3757834655349241,2.014240114315459,2.2442136611739083,0.3757834655349241,4.190795680376399,2.4045737275158396,0.3757834655349241,0.3757834655349241,1.083947083392746,6.977656037715427,3.810942856109878,1.8535234400719554,6.360895294129107
nmr_CT_sf_4,1.3517923155185512,1.4453067530167678,1.5883520043971593,0.38004859853741163,9.986580668292973,1.90529685423379,1.080807660119409,1.0649111206622868,0.38004859853741163,7.972105469704644,5.364909242115108,1.2190189268755494,1.4878399604856891,1.6027270120430175,1.0316106110321552,4.434865309023764,1.581065883582435,1.7031515934079546,2.8862271358562834,0.38004859853741163,3.756916224572443,0.9772119649747089,2.2553878200183113,2.384540957879888,0.38004859853741163,3.9655057063639148,2.4256618139407125,0.38004859853741163,0.38004859853741163,1.2888251562615674,7.184950410033624,4.17529318600827,1.2065790902346543,6.42334954218487
nmr_CT_sf_5,1.2482238701319714,1.4262522281355197,1.3996368092557085,1.0372223983008837,6.868865293658667,1.8696794678984487,1.08443252704747,1.2058781748596719,0.8748272519095869,7.251473513249768,6.250654030576676,1.1022132697025735,2.33439048134243,1.673484329716925,0.72595486574645,4.91538980244563,1.673484329716925,1.360582567398311,2.4601117313080656,0.3170899944981806,3.432967925688208,1.4959335582626692,1.8419078362968246,2.000201639640194,1.1361486297071641,3.2968914040455433,2.511701363595426,0.3170899944981806,0.3170899944981806,1.2617192281598126,7.732415617180418,3.430260536611162,1.331250483039619,5.404755893828203
nmr_CT_sf_6,1.3164390873294765,1.6529484903438132,0.3597510543389972,0.3597510543389972,6.936409765152133,2.053555241999207,1.0377016070761116,1.1301150017779305,0.3597510543389972,5.757421804034159,3.9730552760980586,1.2404997878175945,1.6971953834676128,1.8943186165515595,0.8872223939639519,3.2362783545858056,1.342774823997075,1.569259523157095,2.151823601140702,0.3597510543389972,2.9421480142638248,0.8458951330113992,1.600158364822499,1.969170668147978,0.3597510543389972,3.0953888903092532,1.7987552716949855,0.3597510543389972,0.3597510543389972,1.0080366035026134,5.4992807531613765,2.9984370114728467,1.1178301700933049,6.1459095839209
nmr_Gl_sf_1,1.6123098539531513,2.1322540724406482,0.3174617527469848,1.3447119793845737,8.000034836135052,2.4700081073869145,0.3174617527469848,0.3174617527469848,0.3174617527469848,6.138621302362384,3.8574374212738096,1.153732576706262,0.3174617527469848,0.3174617527469848,0.7464588312586159,4.704324369083262,1.4976873999151856,1.871871491541172,2.7429084638183836,0.3174617527469848,1.5571080340264427,0.3174617527469848,1.7586296198085782,2.3332158175248328,0.3174617527469848,3.5923684334713295,2.4054028915501293,0.3174617527469848,0.9157181529767511,1.0284528406533664,6.917718616016742,2.4145839076135407,1.6325671211528368,5.422723003499543
nmr_Gl_sf_2,1.54497252375795,1.6244453642216443,0.31588243195989163,1.1479929440564327,7.341523293308589,1.9353881827286536,0.31588243195989163,0.31588243195989163,0.8574368380847719,7.040668655843592,5.418385593279656,1.3380222551475007,0.31588243195989163,0.31588243195989163,0.8574368380847719,5.349153151092183,1.6820973323141828,2.005728419165621,2.741898595300278,0.31588243195989163,4.62855091824424,0.31588243195989163,2.0738990761346576,2.156094770852743,0.31588243195989163,3.718291723956706,2.493717045623087,0.31588243195989163,0.8851149982146906,1.2297291754571873,7.406253066803384,4.2911818335197145,1.5042963143742154,5.39032732791219
nmr_Gl_sf_3,1.632269247860376,1.7647259876150425,1.412739229483566,1.1399835006985217,6.899310936146491,1.1521118950405758,1.1521118950405758,0.3628925070989736,0.3628925070989736,7.236315168138876,5.024331746677165,1.127591394225022,0.3628925070989736,0.3628925070989736,0.9330988228914037,4.332758866688358,1.8523734519354043,1.8843172027173796,2.574348901427859,0.3628925070989736,3.661295785016387,0.3628925070989736,2.0527569257513694,2.283027363461664,0.3628925070989736,4.453266202935711,2.6376777905361126,0.3628925070989736,0.3628925070989736,1.1639901746182117,7.402232725704624,4.66695733992992,1.5371486401192185,6.175444658980234
nmr_Gl_sf_4,1.548706209874225,1.7750365645677395,1.1661835286191855,0.3468744971366532,6.295414660730253,1.8139182766937296,0.9570004363203563,0.3468744971366532,0.3468744971366532,6.925328027084921,5.172099626359985,1.053315272630077,0.3468744971366532,1.6207116781053688,0.9719559837782117,4.717833209582767,1.6416263936344055,1.5428839511163193,2.4879853928902644,0.3468744971366532,3.241423356210737,0.3468744971366532,1.8831244915504617,2.0971836445834096,0.3468744971366532,3.0857679022326385,2.406695761622254,0.3468744971366532,0.3468744971366532,1.0778197129894074,7.613279633732689,3.3303263565406866,1.3946872256349678,5.912428696417848
nmr_Gl_sf_5,1.4167480802187657,1.6021289391981128,1.0948684272235143,0.3523612813413883,6.886800607963094,1.6245392394125533,1.0303106369016333,0.3523612813413883,0.3523612813413883,7.652641534121728,4.883421350829391,1.3067070652631831,0.3523612813413883,2.369259924355835,1.0020686129849616,4.229150869921334,1.5245787198227552,1.5672889487814812,2.5677840819401614,0.3523612813413883,3.1985664669863056,0.6025293156339543,1.8164705856023042,1.7570956719074364,0.3523612813413883,3.5492654312301464,2.3873072133274156,0.3523612813413883,0.3523612813413883,1.0699763810372371,7.022769197029981,3.6017364541633548,1.678016006022547,5.985260833986884
