FeatureID,12C-1000fr1,12C-1000fr10,12C-1000fr11,12C-1000fr12,12C-1000fr2,12C-1000fr3,12C-1000fr4,12C-1000fr5,12C-1000fr6,12C-1000fr7,12C-1000fr8,12C-1000fr9,12C-1000frS,12C-10070fr1,12C-10070fr10,12C-10070fr11,12C-10070fr12,12C-10070fr2,12C-10070fr3,12C-10070fr4,12C-10070fr5,12C-10070fr6,12C-10070fr7,12C-10070fr8,12C-10070fr9,12C-10070frS,12C-200fr1,12C-200fr10,12C-200fr11,12C-200fr12,12C-200fr2,12C-200fr3,12C-200fr4,12C-200fr5,12C-200fr6,12C-200fr7,12C-200fr8,12C-200fr9,12C-200frS,12C-2070fr1,12C-2070fr10,12C-2070fr11,12C-2070fr12,12C-2070fr2,12C-2070fr3,12C-2070fr4,12C-2070fr5,12C-2070fr6,12C-2070fr7,12C-2070fr8,12C-2070fr9,12C-2070frS,13C-1000fr1,13C-1000fr10,13C-1000fr11,13C-1000fr12,13C-1000fr2,13C-1000fr3,13C-1000fr4,13C-1000fr5,13C-1000fr6,13C-1000fr7,13C-1000fr8,13C-1000fr9,13C-1000frS,13C-10070fr1,13C-10070fr10,13C-10070fr11,13C-10070fr12,13C-10070fr2,13C-10070fr3,13C-10070fr4,13C-10070fr5,13C-10070fr6,13C-10070fr7,13C-10070fr8,13C-10070fr9,13C-10070frS,13C-200fr1,13C-200fr10,13C-200fr11,13C-200fr12,13C-200fr2,13C-200fr3,13C-200fr4,13C-200fr5,13C-200fr6,13C-200fr7,13C-200fr8,13C-200fr9,13C-200frS,13C-2070fr1,13C-2070fr10,13C-2070fr11,13C-2070fr12,13C-2070fr2,13C-2070fr3,13C-2070fr5,13C-2070fr6,13C-2070fr7,13C-2070fr8,13C-2070fr9,13C-2070frS,Una-1000fr1,Una-1000fr10,Una-1000fr11,Una-1000fr12,Una-1000fr2,Una-1000fr3,Una-1000fr4,Una-1000fr5,Una-1000fr6,Una-1000fr7,Una-1000fr8,Una-1000fr9,Una-1000frS,Una-10070fr1,Una-10070fr10,Una-10070fr11,Una-10070fr12,Una-10070fr2,Una-10070fr3,Una-10070fr4,Una-10070fr5,Una-10070fr6,Una-10070fr7,Una-10070fr8,Una-10070fr9,Una-10070frS,Una-200fr1,Una-200fr10,Una-200fr11,Una-200fr12,Una-200fr2,Una-200fr3,Una-200fr4,Una-200fr5,Una-200fr6,Una-200fr7,Una-200fr8,Una-200fr9,Una-200frS,Una-2070fr1,Una-2070fr10,Una-2070fr11,Una-2070fr12,Una-2070fr2,Una-2070fr3,Una-2070fr4,Una-2070fr5,Una-2070fr6,Una-2070fr7,Una-2070fr8,Una-2070fr9,Una-2070frS,Kingdom,Phylum,Class,Order,Family,Genus,Species
278f3e8ee5a9fd77a7070b66383e6d07,0,1976,2298,2324,0,0,27,152,249,652,489,658,2070,0,900,1046,582,0,31,39,0,229,0,229,401,1071,32,107,76,93,0,52,0,60,52,142,125,130,147,0,811,784,646,121,131,0,257,90,71,57,578,871,0,1393,376,414,0,67,151,398,583,0,1094,4693,1033,0,546,184,0,0,0,0,194,603,849,1510,1026,627,0,0,227,169,0,0,0,0,117,82,117,200,176,0,5040,3888,4790,160,160,978,0,1402,3228,6551,4269,0,82,218,190,0,0,0,42,0,0,0,0,398,0,1518,1431,1760,0,0,31,96,108,576,1192,1345,2154,0,0,0,47,0,0,41,0,52,83,70,156,135,0,625,457,295,0,0,0,82,91,187,238,503,432,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
e88bdba8169aee90fad270d7f0f5c2bd,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4265,6970,8834,705,2378,3110,4549,4506,4988,4537,3597,8784,0,234,214,585,0,0,0,231,40,56,51,147,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1628,1373,154,203,759,838,1558,1708,2223,2400,1902,0,97,0,237,0,0,182,0,151,158,170,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,182,0,0,0,0,101,0,0,194,319,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,NA
2b0b5f9657efbd97d7a274de99841aa8,0,150,0,0,53,0,0,0,0,0,0,0,173,0,1006,1448,1337,0,17,114,0,0,0,341,557,4565,0,610,920,1995,193,651,623,985,820,1271,1342,768,2067,41,320,374,955,174,115,0,367,60,44,23,261,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,197,0,0,77,135,648,1557,1713,2580,1407,1120,42,161,1603,2658,247,216,892,639,766,793,909,963,3602,0,671,695,1751,114,71,261,0,423,663,866,1943,0,79,186,209,0,0,0,7,37,34,0,0,1003,0,41,26,56,0,0,0,0,44,0,51,44,127,0,128,321,1308,144,0,485,139,802,692,751,1981,4080,0,188,224,253,12,68,17,65,104,155,182,129,515,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,butyricum
dfb0da3070cb46051960f65e98593cb2,0,2624,2777,2930,0,0,0,96,314,575,401,613,3206,16,1183,2527,2088,0,0,38,0,0,0,380,530,1831,0,25,0,16,0,0,0,0,27,0,13,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1426,2158,0,0,79,0,96,334,421,410,572,1487,0,0,20,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,25,0,509,3311,3050,0,0,0,105,369,294,89,241,4461,0,2959,3286,4286,17,0,0,116,191,1134,2398,2699,4677,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,42,0,19,0,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,NA
31125abc66ec5f1b4d960b9642d31f6c,0,162,237,217,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,761,642,0,0,0,220,0,0,0,594,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,160,0,0,0,0,194,222,278,372,806,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6461,5116,5476,202,247,905,0,1694,3611,7757,4903,0,0,124,0,0,0,0,0,0,0,0,0,107,0,967,747,805,0,0,0,0,0,291,664,711,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,1549,909,0,92,0,99,261,351,980,1571,1130,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
1aa3cb901f42c0de5463ca1737e48a0e,151,1453,1345,1411,364,98,0,59,372,447,304,459,1273,90,546,1086,958,500,160,0,26,76,47,306,222,783,242,186,244,186,175,453,297,577,333,253,276,255,195,140,241,206,159,140,220,750,393,53,0,85,175,297,261,134,486,1096,205,108,0,139,97,132,218,101,455,261,1858,2898,82,102,293,48,587,566,468,539,611,1614,0,0,164,136,0,0,0,0,0,0,96,131,110,304,126,118,102,435,256,444,0,210,0,64,0,39,481,1564,1913,127,0,177,135,1017,466,77,1646,1801,0,1031,1131,1398,87,481,126,114,326,616,975,945,1178,34,0,0,255,112,0,116,0,204,429,546,248,142,0,145,92,59,0,77,0,165,0,0,143,70,93,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,NA,NA
c0b5f6e2dcb170d6cf87e810bb2923a6,0,141,64,25,0,0,11,65,0,86,41,107,129,28,7307,10113,9905,53,25,235,72,0,209,2642,4112,17467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,14,30,0,0,15,15,43,0,70,339,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Sodalis,NA
0d20a0cdbe5edd7e961f5b6ba5c3d3dc,433,117,13,6,301,302,257,1208,776,155,75,88,94,59,69,14,0,292,240,301,30,200,74,185,122,12,1207,125,139,26,738,920,275,1180,882,1168,950,297,9,66,23,16,20,380,90,20,101,27,17,24,9,17,420,0,0,15,234,123,129,187,132,167,105,0,63,575,13,16,1898,209,443,409,443,120,216,39,21,276,1122,0,133,31,5977,135,206,1256,1718,140,108,133,150,748,40,195,80,1552,2083,1129,0,351,244,119,16,76,82,90,8,86,329,334,375,1578,380,57,36,53,320,47,7,37,139,395,294,171,64,172,49,87,24,18,0,0,9,41,15,52,36,40,51,14,15,9,490,7,7,0,466,208,62,1089,68,26,34,10,8,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,NA
5a18e09472fe3c0dbfdb0d88429763c0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,315,348,72,133,142,179,232,469,556,521,564,0,721,625,591,57,33,0,172,42,61,40,503,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,3226,2328,201,353,1102,1057,1981,1222,1918,3736,3017,0,352,280,488,0,49,71,0,197,285,499,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,314,721,99,10,298,153,449,626,628,2162,1751,0,637,487,433,0,0,0,118,91,214,325,618,630,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
d95f7821d3e2182ee4b267bdabcfc8b2,0,759,919,568,233,0,0,0,0,174,244,252,467,80,472,851,468,596,113,0,0,51,0,221,214,364,189,224,274,215,278,208,348,406,316,340,323,343,220,0,665,577,534,0,180,593,220,206,80,109,528,762,0,70,309,518,169,0,74,60,0,164,149,47,234,0,1612,1274,0,171,0,222,477,373,452,384,503,858,0,0,312,242,0,0,0,147,105,76,179,257,163,129,308,242,300,461,0,391,0,164,201,340,304,0,331,1792,722,116,0,120,71,463,137,79,975,781,0,782,603,379,0,405,116,187,339,348,425,359,495,0,0,0,124,65,0,139,98,174,181,286,482,176,0,344,193,95,0,0,0,94,141,0,170,289,310,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,NA
