"","12C-1000fr1","12C-1000fr10","12C-1000fr11","12C-1000fr12","12C-1000fr2","12C-1000fr3","12C-1000fr4","12C-1000fr5","12C-1000fr6","12C-1000fr7","12C-1000fr8","12C-1000fr9","12C-1000frS","12C-10070fr1","12C-10070fr10","12C-10070fr11","12C-10070fr12","12C-10070fr2","12C-10070fr3","12C-10070fr4","12C-10070fr5","12C-10070fr6","12C-10070fr7","12C-10070fr8","12C-10070fr9","12C-10070frS","12C-200fr1","12C-200fr10","12C-200fr11","12C-200fr12","12C-200fr2","12C-200fr3","12C-200fr4","12C-200fr5","12C-200fr6","12C-200fr7","12C-200fr8","12C-200fr9","12C-200frS","12C-2070fr1","12C-2070fr10","12C-2070fr11","12C-2070fr12","12C-2070fr2","12C-2070fr3","12C-2070fr4","12C-2070fr5","12C-2070fr6","12C-2070fr7","12C-2070fr8","12C-2070fr9","12C-2070frS","Una-1000fr1","Una-1000fr10","Una-1000fr11","Una-1000fr12","Una-1000fr2","Una-1000fr3","Una-1000fr4","Una-1000fr5","Una-1000fr6","Una-1000fr7","Una-1000fr8","Una-1000fr9","Una-1000frS","Una-10070fr1","Una-10070fr10","Una-10070fr11","Una-10070fr12","Una-10070fr2","Una-10070fr3","Una-10070fr4","Una-10070fr5","Una-10070fr6","Una-10070fr7","Una-10070fr8","Una-10070fr9","Una-10070frS","Una-200fr1","Una-200fr10","Una-200fr11","Una-200fr12","Una-200fr2","Una-200fr3","Una-200fr4","Una-200fr5","Una-200fr6","Una-200fr7","Una-200fr8","Una-200fr9","Una-200frS","Una-2070fr1","Una-2070fr10","Una-2070fr11","Una-2070fr12","Una-2070fr2","Una-2070fr3","Una-2070fr4","Una-2070fr5","Una-2070fr6","Una-2070fr7","Una-2070fr8","Una-2070fr9","Una-2070frS"
"3e45cd957788b969a55aab1022542479",0.0561062311031909,0.47141649858207,0.430335935564424,0.454313779710505,0.00970319599634068,0.0452376107924231,0.159527552427421,0.158315650747676,0.334973913231392,0.453442173850412,0.41550440303659,0.458463624272423,0.377214940524699,0,0.0896372665335505,0.0946616046060895,0.0551623316048742,0.0113263277953431,0.020479519896065,0.0323398108449995,0,0.0435359803181562,0.0832496632183311,0.0646245296513744,0.067468121368275,0.0399265795443208,0,0.0368052350085377,0.022238676979923,0.0185167653413192,0,0.00614441708580173,0.0202913573497064,0.0214305223239573,0.0214122593024173,0.025268406010571,0.0246518198675295,0.0458458618860562,0.0224786550604752,0.0832626893350649,0.506372599674004,0.439209523515206,0.473284462446268,0.157293752128631,0.197955397809678,0,0.314286928204321,0.0720440116858619,0.340117370612242,0.349117888794731,0.465019876886288,0.415121891578353,0,0.137853763027259,0.120539790852181,0.133358750040739,0,0.0110366100972686,0,0.063560932487031,0.033876308952806,0.0486615692562052,0.0700821757277674,0.015480498869951,0.172443630931036,0,0.297556146547484,0.274818015521997,0.272597950383214,0.0214202399198119,0.0257952590955046,0.0581932124173993,0.0870017108610772,0.026908349001267,0.273773542394708,0.251006732231231,0.304873574874075,0.312492783327057,0,0.0371395107774262,0,0.0115102755796977,0.055314322147925,0,0,0,0.023191560161465,0.0172636399253733,0.0197329278343492,0.015783001150448,0.010469887046367,0.025454354258197,0.594795099923483,0.545491044932547,0.542401773654523,0.0304541705916023,0.189292904249755,0.304998143538959,0.220392959695939,0.521594204509052,0.414148672492221,0.49666664755359,0.597342338788004,0.437162719763791
"b917effe0e3a87c2832723d16773550a",0.0417534743093514,0.108102041299641,0.0829363765288555,0.0546909317649118,0,0.0474994913320443,0.0983134916122479,0.131019848894629,0.212250737813284,0.119045290479902,0.110970594898661,0.127106515820305,0.169492751447668,0,0.354264932071937,0.420799840490995,0.406522400305486,0.0202501012098559,0,0.186198910925755,0,0.780117701376691,0.26639892229866,0.340939691478513,0.4024414257055,0.684669606952612,0.0216533585071384,0,0.013888522405086,0.0209440566781963,0,0.0319113274456155,0.0146548691970102,0,0.0163253689709038,0.0220386097535807,0.0180780012361883,0.0223275301393131,0.0227400347704807,0,0.0115371771420819,0.0119333925339153,0.0259480393168693,0,0,0,0,0,0,0,0,0.0229676257281302,0,0,0,0,0,0.00562242401181606,0,0,0,0,0,0.00549965091432468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00741209325613081,0,0,0,0,0,0,0,0,0,0,0.020957834640938
"36aff623036995b22007d37cb26c2755",0,0.328096407304606,0.315489374236808,0.232301086407397,0.020619291492224,0.111963086711247,0.115008235470932,0.155282783875115,0.182072907792438,0.341419217921291,0.345618341363769,0.381060674719936,0.211531765903733,0,0.111167786436217,0.111772662692373,0.0574807484404414,0,0,0,0,0,0.206459164781461,0.0954268755599734,0.0710190751245,0.0408763426441857,0,0.143116759151904,0.0844388079965658,0.0774652692369047,0.0753555320461372,0.128834551799069,0.0769783239139656,0.105581787993947,0.11853637470178,0.134226532680213,0.14104707916363,0.239946523897151,0.0867127187943331,0.0813263477226215,0.465613521303437,0.467526048171955,0.391455814113669,0.229054496187315,0.260262670562888,0,0.579630397066479,0.0946396335327913,0.593332505561445,0.42774804392868,0.525625543517717,0.463748661674629,0,0.0549417171485454,0.0517760870751874,0.0548941831563043,0,0,0,0,0.0256895342892112,0.0441869421981633,0.19022304840394,0.0130362095746955,0.0623270878446596,0.0499144420457938,0.177501701293065,0.0962300463628638,0.0820059690890678,0,0,0.0581932124173993,0,0.0271575003809084,0.108780164458718,0.119323565109315,0.157154366932188,0.100865514715798,0,0.259976575441984,0.21654014111752,0.141170144609822,0.0732101322546066,0,0.202714424473405,0.110893076148122,0.230884865607474,0.289749199828563,0.274018611517895,0.277595137881409,0.151410674208999,0,0.445537879560301,0.442980892044257,0.433380473541378,0.0543236556498852,0.229932058834448,0.31092043758826,0.20273326741261,0.492056411159783,0.648189678572055,0.654952441975377,0.594759547027691,0.413105487042151
"116ef48e860fda3b8bb0edc061981783",0,0,0,0,0,0,0,0,0.0221304086819538,0,0,0.00284760015076038,0,0,0,0.00168907440336699,0,0,0,0,0,0,0,0,0,0,0.143530833533032,0.740208881053001,0.742737728865856,0.71376235540396,0.605086980537137,0.745456537409688,0.761731113207233,0.751975710027025,0.764689746579148,0.77097136534509,0.78025426725816,0.651517329465156,0.752708219888412,0.0503448819235276,0.0107792603955218,0.0150684363351982,0.0293494676917398,0.120326096098399,0.0616582386620307,0,0,0,0,0,0.00941081779991137,0.0324776582561841,0,0.014984104676876,0,0,0,0.00812127912817876,0,0,0,0.0508988827852261,0,0,0,0,0,0,0.00226583974103694,0,0,0,0,0.0132050231209921,0,0,0,0,0,0.412903972760798,0.566423421765302,0.488509637103053,0.0992404015006889,0.516984262113197,0.322997257252231,0.11219007119079,0.364880546540383,0.352738156313033,0.284333551067668,0.331814388892359,0.38577506886229,0.0450346267645023,0.0266023073028256,0.0383424864916355,0.0534703704753404,0.0288079992082725,0.0513336689490861,0.0769898226409024,0.0332002214926574,0.0626777566191817,0.0326568845692791,0.0233831287214003,0.0202318687891205,0.0587409731485445
"daa604dba1ff2f13fc2b961774ff9964",0.0156575528660068,0.171589288344864,0.196729299679155,0.249938331729038,0.0101883557961577,0.05880889403015,0.0723438900542956,0.0952320197984106,0.151895077771592,0.151147391283471,0.183821519793965,0.223924920946158,0.607660921199603,0,0.00812886975917002,0.00829849598175959,0.00823437703666963,0,0,0,0,0,0,0.00724761080202329,0.0138092646075417,0.0104473940985139,0,0.0154899730071903,0.0234315562048997,0.0262147464382721,0.0156990691762786,0.0091175221273187,0.00660274326458701,0.00695650462871911,0.0146691721187831,0.0130141790355196,0.00792725187897027,0.0171177731068067,0.0216291710029572,0.0193634161244337,0.201774280528673,0.266579853554244,0.432467321947822,0.16236774413278,0.109686761409297,0.00402150328643984,0.127952186565942,0.0235780401881003,0.0764140348071558,0.0456054899776901,0.10226422009237,0.376992044178137,0,0.0209777465476264,0.0121081948832026,0.0118885707400659,0,0.00333180682181692,0,0,0.0175027596256164,0.0268477623482512,0.0250293484742026,0.00488857859051083,0.0260231655433888,0.0368416119861811,0.253754047132787,0.158467141283261,0.473299062829678,0,0.00429920984925077,0.0412984088123479,0.049715263349187,0.0164439910563298,0.16560108835196,0.210113234214228,0.2433976170779,0.546120152883875,0,0,0.0193746442052518,0.0125258881308475,0.0488067548364044,0.196946385566932,0.00841138690761017,0.00713347273467452,0,0.00793194266841476,0.00941798828457576,0.0116979890879791,0.011597413343668,0,0.448380874233886,0.527044487857533,0.530750642344722,0,0.131542526682033,0.171746527429705,0.199907716647278,0.31771138700068,0.24245262786283,0.165930278811476,0.167594487558104,0.631391666154456
"e94b3ba482a39b82e72f18a68045e779",0,0.0531429319172082,0.0415434481342361,0.0488118499910316,0,0,0,0.0206234947334138,0.0296748661871654,0.0665449797907316,0.0584501606718139,0.0698956400641186,0.0414375023255339,0,0.0205418735806053,0.0210032730157809,0.012791265299681,0,0,0,0,0,0,0.0154011729542995,0.0140065398162208,0.00851133854878934,0,0.0154899730071903,0.00817974325698316,0.00880759999381101,0.00941944150576715,0,0.00740795585782933,0.0120055805689185,0.00650648763333123,0.011304286899466,0.00899066371639312,0.0251556839569594,0.00869087535768372,0,0.476392781698959,0.491493963684988,0.402923486920375,0.213107664174274,0.170695965980148,0,0.424409711724189,0.096604470215133,0.497440383450504,0.369561729129558,0.499526208819296,0.388565574330203,0,0,0.00451798316537411,0.00527232267602922,0,0,0,0,0,0,0,0,0.00546165202762481,0,0.0765963413848628,0.0711102550395708,0.0884548975827883,0,0,0,0.0223718685071341,0.0142016286395576,0.0951066800993823,0.104522560230026,0.105555841203983,0.0640971799175108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296585265769289,0.302655297152189,0.30979525929098,0.0551467413415501,0.147584298228623,0.136212763133904,0.110902867539302,0.275205781937097,0.353288114885838,0.36626073737655,0.341645954516992,0.25105124453687
"94b1131d5d5999abf2d7ee015324e00b",0.0260959214433446,0.367578526113825,0.399328869203364,0.424222163788934,0.0106735155959748,0.05880889403015,0.100168463152102,0.18743117272426,0.35358357507758,0.339747233504439,0.328252713917795,0.287607615226799,0.360506270232145,0,0.12951266819002,0.168613688266549,0.163488359611548,0.0130424380673648,0,0,0,0,0.119879515034397,0.111733999864526,0.0925220728705291,0.077734456788943,0,0,0,0,0,0,0,0.00673210125359914,0,0,0,0,0,0.036790490636424,0.00311587995808051,0,0,0,0,0.0102084314194242,0,0,0.026969659343702,0,0.00213311870131324,0.00188406304801068,0,0.396079833625423,0.570440554460136,0.489292220110712,0,0,0,0.241941613982892,0.136352143535044,0.261765682895449,0.3829490316553,0.0714954618862209,0.542229600566105,0,0.512782692624411,0.53376432209843,0.521055992756149,0,0,0.223386847666791,0.169031895387236,0.0715064459570707,0.474621834872956,0.497435834087424,0.523946172680108,0.477303228126832,0,0,0,0.010156125511498,0,0,0,0,0,0.00933169725695854,0.0179390253039538,0,0,0,0.00101535524056586,0,0.0020805591624646,0,0,0,0,0,0,0,0,0
"3c6fe40ee8a9b709ff1614e5f286216b",0.386219637361501,0.291772858000125,0.240982103126493,0.209945104398827,0.759517666613567,0.158331637773481,0.415513624927236,0.29358151326389,0.367163598586961,0.341753614804662,0.386702874589609,0.36449281929733,0.196427127959265,0.446496918209834,0.13775138754053,0.137916596935792,0.107366683109197,0.687473774971888,0.605952853395335,0.306738205893481,0.411631282076309,0.135314533421296,0.25640896271246,0.173640675465142,0.142827251083717,0.0642551266408603,0.27406965196178,0.00688443244764014,0.00587919046595664,0.0034675590526815,0.376329115397078,0.120708064685589,0.167806304431699,0.0921175854867483,0.0690870686884626,0.0518667281269615,0.0234917342267046,0.0160758217003054,0.00509690434510774,0.416313446675324,0.00252638915520041,0,0.00476199972481871,0.237027912193835,0.26675301147468,0.668806931175612,0.112919552625134,0.159479244050067,0.0464477466474868,0.21387402196434,0.00652483367460522,0.00305038779201729,0.588964004500446,0.527939954781932,0.375986559022434,0.491669934258726,0.556525567805713,0.165757389385392,0.498452183731773,0.642785559183362,0.653248157639942,0.561565695784253,0.5681662103644,0.668716813026961,0.426571087039932,0.522913202384507,0.316590566711985,0.295313765656425,0.187803255459023,0.337963785401476,0.738604252101282,0.397966484918989,0.636355370869593,0.235448053761086,0.371918774573942,0.363921614815493,0.250031713242955,0.208506147023827,0.614014417760365,0,0.0683810971950063,0.130336944064224,0.66214497394722,0.418511069329731,0.401223155493005,0.0862501703374283,0.141210832983143,0.163771286859622,0.248455500459761,0.0230246134430065,0,0.0822371445264825,0,0.00289874468321643,0.00353695057618983,0.257625821491122,0.259876699054748,0.177668821479006,0.10807731677397,0.042505605063583,0.0445321153217442,0.0222589398405638,0.0137748893883373,0
"6a84f2ded1fe3a9da22daa9951d7ab79",0.067849395752696,0.458466363612646,0.519970440506227,0.509159424153676,0.0722888101727381,0.0554160732207183,0.165092467046982,0.195316626592919,0.293227915035888,0.364158205990486,0.370607902810414,0.389862347913195,0.307239029339483,0.201643769514119,0.101061624032925,0.130793109234636,0.100891105051234,0.184996687323938,0.18792971198742,0.105839380947271,0,0.0400060359680354,0.109889555448197,0.100862583661491,0.0684544974116708,0.0390498751444455,0.0470187213297862,0.00926750521797712,0,0,0.066833180207586,0.0493535436891817,0.00595857318999315,0.0324262877048359,0.0293383442375663,0.0141541071262221,0,0.0058051578362214,0.00235241739004972,0.102626105459499,0.00210532429600034,0,0,0.109453256089508,0.221320625092131,0.180039608669845,0.0929925727501107,0.0998791980190358,0,0.317665826741152,0,0,0.192144285156174,0.416058639861258,0.465713704686764,0.392529592174176,0.124537189998481,0.0131189893609042,0.247849152131821,0.22963949801766,0.218784495320205,0.347342925380499,0.367931422570779,0.192895163550573,0.340951659665696,0.140235813366754,0.227610385702025,0.256946721197465,0.183445871341645,0.0535505997995296,0.121237717748872,0.212123645263423,0.124288158372967,0.0777352304481047,0.287750881962029,0.217132267455952,0.203445615728348,0.166941942469241,0,0.0240314481500993,0,0.111717380626478,0.146420264509213,0.196946385566932,0.0908429786021899,0.0220489157253576,0.0329835522296391,0.0223960734167005,0.0623381129312396,0,0,0.00979013625315267,0,0.00329402804910958,0.00624167748739382,0.023046399366618,0.117639658008322,0.0858732637148527,0,0.0360216992064262,0,0.00764448438968857,0.00688744469416867,0
"52b48981edf3b70482ea60e55a6fb7ad",0,0.1687465757906,0.161733460218249,0.180162913833776,0.0167380130936877,0.0927371021244674,0.148397723188299,0.0928057263003619,0.166481028948334,0.271530269296854,0.228718020020141,0.172668118232471,0.159200210547454,0,0.0216403694940067,0.0291548929624651,0.0276611112105601,0.0140721042305778,0,0,0,0,0,0.0265745729407521,0.0286049052584792,0.0202007305471266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00791601935296131,0,0.0108845707995856,0,0,0,0,0.0137538567763918,0,0.0440328868750112,0,0.00906144608805137,0,0.118873897103216,0.0822272936098089,0.102965360496571,0.0758898501553245,0.0658031847308844,0.0807804643985194,0,0.0313355857813455,0.172273141734612,0.0650763060329268,0.0185358604890202,0.108510174842958,0,0.259831301763622,0.291064646726117,0.272423655018518,0,0,0,0.121802395205508,0.065526812845678,0.324517362128244,0.275725936256434,0.310180851806119,0.231876496471185,0,0,0,0,0,0,0.0428980732288119,0,0,0,0,0,0,0,0.0113719786943377,0.0115949787328657,0,0.0304541705916023,0,0,0,0,0,0,0.0113355860591526,0.0116596403988317
